name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Ho Chi Minh,2026-06-29T02:00:00,81.9,88.2,74.6,78.56,0,58,rain,0,0,20.7,7.2,238,1006,99.7,12.1,0,0,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-29T03:00:00,80.9,86.6,74.7,81.55,0,58,rain,0,0,19.6,6.3,234.9,1006,99.4,9.2,0,0,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-29T04:00:00,80,80,74.9,84.65,0.024,58,rain,0,0,18.6,5.4,231.8,1006,99.1,6.3,0,0,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-29T05:00:00,80.8,86.4,75.1,82.85,0,58,rain,0,0,19.1,6,235.4,1006.7,99.4,9.2,15,0.1,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-29T06:00:00,81.5,87.9,75.2,81.1,0,58,rain,0,0,19.6,6.6,238.9,1007.3,99.7,12.1,30,0.1,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-29T07:00:00,82.3,89.4,75.3,79.39,0.067,58,rain,0,0,20.1,7.2,242.5,1008,100,15,45,0.2,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-29T08:00:00,84.9,93.2,74.8,71.89,0,58,rain,0,0,18.5,8.4,248.5,1008,98.7,15,184,0.7,2,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-29T09:00:00,87.5,96.4,74.3,65.16,0,58,rain,0,0,16.9,9.7,254.6,1008,97.4,15,323,1.2,3,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-29T10:00:00,90.1,99.3,73.8,59.1,0,58,rain,0,0,15.2,11,260.6,1008,96.1,15,462,1.7,5,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-29T11:00:00,91.5,100.4,73.1,54.93,0,58,rain,0,0,14.2,10.1,258.6,1007,97.4,14.7,536.3,2,5,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-29T12:00:00,93.1,101.4,72.3,51.07,0,58,rain,0,0,13.3,9.2,256.5,1006,98.7,14.5,610.7,2.2,6,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-29T13:00:00,94.6,102.5,71.5,47.48,0.008,58,rain,0,0,12.3,8.3,254.5,1005,100,14.3,685,2.5,7,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-29T14:00:00,92.7,100.8,72.2,51.43,0,77,rain,0,0,13.6,8.6,247,1004.7,100,14.5,500,1.8,5,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-29T15:00:00,90.8,99.2,72.8,55.73,0,77,rain,0,0,14.8,8.9,239.5,1004.3,100,14.7,315,1.2,3,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-29T16:00:00,89,97.5,73.5,60.41,0.024,77,rain,0,0,16.1,9.2,232,1004,100,15,130,0.5,1,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-29T17:00:00,87.9,96.4,73.8,63.27,0,77,rain,0,0,16.5,8.5,227,1004.3,100,14.7,86.7,0.3,1,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-29T18:00:00,86.8,95.3,74.2,66.27,0,77,rain,0,0,16.9,7.8,221.9,1004.7,100,14.5,43.3,0.2,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-29T19:00:00,85.7,94.2,74.6,69.42,0.02,77,rain,0,0,17.2,7.2,216.9,1005,100,14.3,0,0,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-29T20:00:00,84.9,93,74.6,71.18,0,48,rain,0,0,18.6,7.7,220.9,1005.7,100,14.5,0,0,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-29T21:00:00,84.2,91.9,74.6,72.99,0,48,rain,0,0,20.1,8.2,224.9,1006.3,100,14.7,0,0,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-29T22:00:00,83.4,90.6,74.6,74.84,0.012,48,rain,0,0,21.5,8.7,228.9,1007,100,15,0,0,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-29T23:00:00,82.7,89.6,74.6,76.46,0,48,rain,0,0,22.4,9.1,229,1006.7,100,15,0,0,0,30,"Rain, Overcast",rain,
Ho Chi Minh,2026-06-30T00:00:00,82.1,88.5,74.6,78.11,0,48,rain,0,0,23.3,9.5,229,1006.3,100,15,0,0,0,30,"Rain, Overcast",rain,
